code,name
41104100,"Contenedores de recogida y transporte de especímenes, y suministros"
41104101,Sobres o empaques para especímenes o láminas de muestras
41104102,Lancetas
41104103,Calentadores de pivote
41104104,Torniquetes
41104105,Bolsas para recolectar o transportar especímenes
41104106,Bandejas o accesorios de flebotomía
41104107,Tubos de recolección o contenedores de sangre al vacío
41104108,Tubos de recolección o contenedores de sangre no al vacío
41104109,Bolsas de recolección de unidades de sangre
41104110,Botellas de cultivo de sangre
41104111,Kits o contenedores de recolección de citologías
41104112,Contenedores de recolección de orina
41104114,Contenedores de recolección frepp sepp
41104115,Contenedores de recolección de filtro de suero
41104116,Contenedores de recolección o transporte de frotis
41104117,Porta especímenes
41104118,Contenedor de recolección de especímenes
41104119,Contenedores de recolección de tejido óseo
41104120,Tubos de tasa de sedimentación
41104121,Contenedores con medio químico para recolección de heces
41104122,Contenedores sin medio químico para recolección de heces
41104123,Aparatos o contenedores para recolección de esputos
41104124,Bandejas de biopsia de médula de hueso para laboratorio
41104125,Contenedor de preservación de especímenes para histología o patología
41104126,Contenedor de especímenes de histología o patología
41104127,Alimentador para laboratorio
41104128,Recolector de especímenes de cultivo sin frotis
41104129,Tarjeta de recolección de monitoreo de desórdenes metabólicos neonatales
41104200,Equipo y suministros de purificación de agua para laboratorio
41104201,Reactivos de purificación del agua
41104202,Equipos de deionización o desmineralización
41104203,Equipos de intercambio de base
41104204,Equipos de ósmosis inversa
41104205,Unidades ultra violeta de purificación de agua
41104206,Sistemas de agua ultra pura
41104207,Sistemas de análisis de agua
41104208,Deshidratadores
41104209,Desoxidantes
41104210,Disolventes
41104211,Suavizantes
41104212,Cartuchos de filtración de agua
41104213,Agua destilada o deionizada
41115800,"Analizadores, accesorios y suministros clínicos y diagnósticos"
41115801,Analizadores de amino ácidos
41115802,Accesorios o suministros para analizadores de amino ácidos
41115803,Analizadores de bancos de sangre
41115804,Accesorios o suministros para analizadores de bancos de sangre
41115805,Analizadores de gas en la sangre
41115806,Accesorios o suministros para analizadores de gas en la sangre
41115807,Analizadores químicos
41115808,Accesorios o suministros para analizadores químico
41115809,Analizadores de coagulación
41115810,Accesorios o suministros para analizadores de coagulación
41115811,Analizadores de secuencia desoxirribonucleica
41115812,Accesorios o suministros para analizadores de secuencia desoxirribonucleica
41115813,Analizadores de toxicología
41115814,Accesorios o suministros para analizadores de toxicología
41115815,Analizadores de hematología
41115816,Accesorios o suministros para analizadores de hematología
41115817,Analizadores de histología
41115818,Accesorios o suministros para analizadores de histología
41115819,Analizadores de inmunología
41115820,Accesorios o suministros para analizadores de inmunología
41115821,Analizadores de microbiología
41115822,Accesorios o suministros para analizadores de microbiología
41115823,Analizadores de proteína
41115824,Accesorios o suministros para analizadores de proteína
41115825,Analizadores radio isotópicos
41115826,Accesorios o suministros para analizadores radio isotópicos
41115827,Analizadores de orina
41115828,Accesorios o suministros para analizadores de orina
41115829,Analizadores de productos cárnicos o lácteos
41115830,Analizadores de glucosa
41115831,Estante o revistero para la manipulación de micro placas
41115832,Equipo para detección de antibióticos
41115833,Analizador de piel
41115834,Accesorios o suministros para citómetro de flujo
41115835,Contador automático de androginia y fertilidad
41115836,Accesorios o suministros para contador automático de androginia y fertilidad
41115837,Contador y medidor de tamaño de partículas
41115838,Accesorios o suministros para contador y medidor de tamaño de partículas
41115839,Analizador de unidad procesadora de aféresis de banco de sangre y donantes
41115840,Accesorios o suministros para analizador de unidad procesadora de aféresis de banco de sangre y donantes
41116000,Reactivos de analizadores clínicos y diagnósticos
41116001,Reactivos analizadores de amino ácidos
41116002,Reactivos analizadores de bancos de sangre
41116003,Reactivos analizadores de gas en la sangre
41116004,Reactivos analizadores de química
41116005,Reactivos analizadores de coagulación
41116006,Reactivos analizadores de secuencia de ácido desoxirribonucleico dna
41116007,Reactivos analizadores de toxicología
41116008,Reactivos analizadores de hematología
41116009,Reactivos analizadores de histología
41116010,Reactivos analizadores de inmunología
41116011,Reactivos analizadores de microbiología
41116012,Reactivos analizadores de proteínas
41116013,Reactivos analizadores radio isotópicos
